Reporting Fiscal Year,Agency,Agency Name,Resource indicators,Previous FY Actual,Current FY Plan,Current FY Updated Plan,Next FY Plan,Previous FY 4-Month Actual,Current FY 4-Month Actual,Notes
2020,OCME,OFFICE OF CHIEF MEDICAL EXAMINER,"Expenditures ($000,000)",$84.70,$82.20,$95.60,$87.00,$31.70,$35.60,This is a subtotal of the Department of Health and Mental Hygiene total. Includes all funds.
2020,OCME,OFFICE OF CHIEF MEDICAL EXAMINER,Revenues ($000),$2,$50,$50,$50.00,$0.00,$0.00,This is a subtotal of the Department of Health and Mental Hygiene total.
2020,OCME,OFFICE OF CHIEF MEDICAL EXAMINER,Personnel,672,740,791,769,648,664,This is a subtotal of the Department of Health and Mental Hygiene total.
2020,OCME,OFFICE OF CHIEF MEDICAL EXAMINER,"Overtime paid ($000,000)",$6.70,$2.50,$2.60,$2.50,$2.00,$2.00,This is a subtotal of the Department of Health and Mental Hygiene total.
2020,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,"Expenditures ($000,000)",$244.50,$236.20,$271.50,$162.50,$103.90,$120.30,Includes all funds.
2020,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,"Revenues ($000,000)",$30.40,$0.20,$0.20,$0.20,$0.10,$0.10,
2020,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,Personnel,307,370,373,345,292,303,
2020,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,Overtime paid ($000),$53,$65,$65,$65.00,$20.00,$14.00,
2020,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,"Human services contract budget ($000,000)",$31.90,$20.90,$43.00,$21.20,$14.90,$1.70,
2020,SCA,SCHOOL CONSTRUCTION AUTHORITY,Personnel,848,909,969,969,816,855,
2020,SCA,SCHOOL CONSTRUCTION AUTHORITY,"Capital commitments ($000,000)","$3,925.70","$4,138.30","$4,779.40","$3,573.90",$403.00,$475.90,
2020,TLC,NYC TAXI AND LIMOUSINE COMM,"Expenditures ($000,000)",$47.90,$53.20,$54.10,$54.30,$18.40,$19.90,Includes all funds.
2020,TLC,NYC TAXI AND LIMOUSINE COMM,"Revenues ($000,000)",$79.50,$61.60,$61.60,$58.00,$30.60,$26.60,
2020,TLC,NYC TAXI AND LIMOUSINE COMM,Personnel,625,670,652,653,611,605,
2020,TLC,NYC TAXI AND LIMOUSINE COMM,Overtime paid ($000),"$1,521","$1,213","$1,213",$807.00,$409.00,$454.00,
2019,311,311,"Expenditures ($000,000)",$43.60,$43.60,$44.30,$44.50,$17.70,$20.20,This is a subtotal of the Department of Information Technology and Telecommunications total. Includes all funds.
2019,311,311,Personnel,355,405,405,405,372,381,This is a subtotal of the Department of Information Technology and Telecommunications total.
2019,311,311,Overtime paid ($000),$231.00,$239.00,$239.00,$239.00,$54.00,$53.00,This is a subtotal of the Department of Information Technology and Telecommunications total.
2019,ACS,ADMIN FOR CHILDREN'S SERVICES,"Expenditures ($000,000)","$2,976.80","$2,971.70","$3,256.40","$2,672.20","$1,605.30","$1,596.00",Includes all funds.
2019,ACS,ADMIN FOR CHILDREN'S SERVICES,"Revenues ($000,000)",$9.50,$3.40,$3.40,$3.40,$4.40,$3.50,
2019,ACS,ADMIN FOR CHILDREN'S SERVICES,Personnel,"6,629","7,075","7,223","7,405","6,435","6,666",
2019,ACS,ADMIN FOR CHILDREN'S SERVICES,"Overtime paid ($000,000)",$61.10,$17.20,$17.20,$17.20,$16.90,$17.00,
2019,ACS,ADMIN FOR CHILDREN'S SERVICES,"Capital commitments ($000,000)",$111.70,$161.30,$132.90,$135.10,$14.40,$14.70,
2019,ACS,ADMIN FOR CHILDREN'S SERVICES,"Human services contract budget ($000,000)","$1,729.60","$1,676.10","$1,900.10","$1,360.20",$594.10,$632.10,
2019,BIC,BUSINESS INTEGRITY COMMISSION,"Expenditures ($000,000)",$8.80,$8.60,$9.30,$9.30,$4.10,$4.30,Includes all funds.
2019,BIC,BUSINESS INTEGRITY COMMISSION,"Revenues ($000,000)",$7.40,$5.10,$5.10,$6.60,$2.10,$1.60,
2019,BIC,BUSINESS INTEGRITY COMMISSION,Personnel,81,89,94,93,80,82,
2019,BIC,BUSINESS INTEGRITY COMMISSION,Overtime paid ($000),$106.00,$24.00,$42.00,$24.00,$32.00,$41.00,
2019,BOE,BOARD OF ELECTIONS,"Expenditures ($000,000)",$129.30,$122.20,$147.30,$98.50,$47.70,$55.10,Includes all funds.
2019,BOE,BOARD OF ELECTIONS,Revenues ($000),$55.00,$116.00,$116.00,$116.00,$27.00,$24.00,
2019,BOE,BOARD OF ELECTIONS,Personnel,714,"1,079","1,079","1,079",751,764,
2019,BOE,BOARD OF ELECTIONS,"Overtime paid ($000,000)",$7.20,$8.30,$8.30,$2.30,$3.80,$4.60,
2019,CCHR,COMMISSION ON HUMAN RIGHTS,"Expenditures ($000,000)",$12.80,$13.50,$13.90,$14.20,$4.50,$4.70,Includes all funds.
2019,CCHR,COMMISSION ON HUMAN RIGHTS,Personnel,142,162,162,165,118,141,
2019,CCHR,COMMISSION ON HUMAN RIGHTS,Overtime paid ($000),$11.00,$15.00,$15.00,$15.00,$1.00,$2.00,
2019,CCRB,COMMISSION ON HUMAN RIGHTS,"Expenditures ($000,000)",$16.40,$16.70,$17.50,$17.90,$5.40,$6.10,Includes all funds.
2019,CCRB,COMMISSION ON HUMAN RIGHTS,Personnel,182,190,190,194,171,176,
2019,CCRB,COMMISSION ON HUMAN RIGHTS,Overtime paid ($000),$444.00,$0.00,$325.00,$0.00,$109.00,$179.00,
2019,CUNY,CITY UNIVERSITY OF NEW YORK,"Expenditures ($000,000)","$1,199.10","$1,196.30","$1,321.70","$1,181.90",$142.30,$216.90,Includes all funds.
2019,CUNY,CITY UNIVERSITY OF NEW YORK,"Revenues ($000,000)",$387.20,$415.30,$415.30,$415.30,$0.00,$63.10,
2019,CUNY,CITY UNIVERSITY OF NEW YORK,Personnel,"9,414","10,102","10,102","10,286","10,579","10,662",
2019,CUNY,CITY UNIVERSITY OF NEW YORK,"Overtime paid ($000,000)",$8.00,$1.60,$2.20,$1.60,$2.40,$2.40,
2019,DCWP,DEPT OF CONSUMER & WORKER PROTECTION,"Expenditures ($000,000)",$39.60,$42.90,$43.50,$43.40,$15.40,$18.50,Includes all funds.
2019,DCWP,DEPT OF CONSUMER & WORKER PROTECTION,"Revenues ($000,000)",$34.50,$27.60,$30.40,$31.70,$9.30,$9.00,
2019,DCWP,DEPT OF CONSUMER & WORKER PROTECTION,Personnel,393,450,450,450,393,399,
2019,DCWP,DEPT OF CONSUMER & WORKER PROTECTION,Overtime paid ($000),$377.00,$142.00,$142.00,$139.00,$10.00,$38.00,
2019,DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICES,"Expenditures ($000,000)","$1,245.10","$1,198.40","$1,249.10","$1,189.40",$718.00,$893.40,Includes all funds.
2019,DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICES,"Revenues ($000,000)",$78.50,$69.30,$70.10,$64.30,$25.20,$26.00,
2019,DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICES,Personnel,"2,420","2,704","2,764","2,767","2,320","2,433",
2019,DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICES,"Overtime paid ($000,000)",$25.30,$23.10,$23.20,$23.10,$7.50,$7.90,
2019,DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICES,"Capital commitments ($000,000)",$101.10,$620.60,$459.90,$441.50,$10.90,$65.00,
2019,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,"Expenditures ($000,000)",$192.50,$200.10,$209.00,$152.00,$85.00,$96.40,Includes all funds.
2019,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,Personnel,63,71,80,69,62,64,
2019,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,Overtime paid ($000),$1.00,$0.00,$0.00,$0.00,$0.00,$0.00,
2019,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,"Capital commitments ($000,000)",$75.40,$272.50,$426.60,$145.60,$6.60,$3.30,
2019,DCP,DEPARTMENT OF CITY PLANNING,"Expenditures ($000,000)",$36.10,$52.00,$55.00,$45.80,$20.00,$17.80,Includes all funds.
2019,DCP,DEPARTMENT OF CITY PLANNING,"Revenues ($000,000)",$5.40,$2.00,$2.80,$2.00,$1.10,$0.40,
2019,DCP,DEPARTMENT OF CITY PLANNING,Personnel,348,386,427,409,317,319,
2019,DCP,DEPARTMENT OF CITY PLANNING,Overtime paid ($000),$25.00,$32.00,$32.00,$32.00,$11.00,$7.00,
2019,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,"Expenditures ($000,000)",$550.90,$162.30,$288.90,$182.30,$277.20,$118.30,Includes all funds.
2019,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,Revenues ($000),$20.00,$150.00,$150.00,$150.00,$3.00,$2.00,
2019,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,Personnel,"1,389","1,505","1,591","1,501","1,387","1,316",
2019,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,"Overtime paid ($000,000)",$2.70,$2.10,$2.10,$1.10,$0.80,$0.90,
2019,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,"Capital commitments (capital projects managed for client agencies) ($000,000)","$2,170.20","$2,054.00","$1,515.70",,,,
2019,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Expenditures ($000,000)","$1,432.10","$1,387.90","$1,459.30","$1,316.70",$696.20,$706.60,Includes all funds.
2019,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Revenues ($000,000)",$29.30,$24.70,$25.50,$25.50,$8.40,$7.50,DEP revenues shown here do not include any of the approximately $1.5 billion the City receives annually from the NYC Water Board in reimbursement for operations & maintenance and in rent.
2019,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,Personnel,"6,099","6,505","6,530","6,378","5,903","6,034",
2019,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Overtime paid ($000,000)",$44.50,$21.40,$22.70,$22.50,$13.40,$14.70,
2019,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Capital commitments ($000,000)","$1,925.20","$2,845.40","$2,395.40","$2,925.70",$221.20,$385.00,
2019,DFTA,DEPARTMENT FOR THE AGING,"Expenditures ($000,000)",$366.10,$385.70,$396.70,$355.60,$216.40,$271.50,Includes all funds.
2019,DFTA,DEPARTMENT FOR THE AGING,"Revenues ($000,000)",$0.50,$1.00,$1.00,$1.00,$0.00,$0.10,
2019,DFTA,DEPARTMENT FOR THE AGING,Personnel,658,661,696,705,683,613,
2019,DFTA,DEPARTMENT FOR THE AGING,Overtime paid ($000),$21.00,$0.00,$17.00,$0.00,$3.00,$5.00,
2019,DFTA,DEPARTMENT FOR THE AGING,"Capital commitments ($000,000)",$2.50,$21.00,$14.10,$13.50,$1.30,$0.10,
2019,DFTA,DEPARTMENT FOR THE AGING,"Human services contract budget ($000,000)",$315.90,$276.30,$319.50,$279.00,$109.90,$142.40,
2019,DHS,DEPARTMENT OF HOMELESS SERVICES,"Expenditures ($000,000)","$2,146.00","$2,061.80","$2,110.80","$2,106.00","$1,182.80","$1,421.40",Includes all funds.
2019,DHS,DEPARTMENT OF HOMELESS SERVICES,Personnel,"2,370","2,578","2,661","2,624","2,414","2,384",
2019,DHS,DEPARTMENT OF HOMELESS SERVICES,"Overtime paid ($000,000)",$16.90,$5.50,$5.50,$5.50,$4.60,$5.40,
2019,DHS,DEPARTMENT OF HOMELESS SERVICES,"Capital commitments ($000,000)",$53.10,$192.80,$73.60,$133.20,$8.00,$1.50,
2019,DHS,DEPARTMENT OF HOMELESS SERVICES,"Human services contract budget ($000,000)","$1,762.00","$1,731.30","$1,752.70","$1,759.70",$579.90,$661.40,
2019,DOB,DEPARTMENT OF BUILDINGS,"Expenditures ($000,000)",$159.70,$204.80,$205.00,$193.80,$60.10,$68.30,Includes all funds.
2019,DOB,DEPARTMENT OF BUILDINGS,"Revenues ($000,000)",$329.70,$301.20,$319.30,$327.10,$140.60,$119.90,
2019,DOB,DEPARTMENT OF BUILDINGS,Personnel,"1,633","1,880","1,903","1,958","1,568","1,597",
2019,DOB,DEPARTMENT OF BUILDINGS,"Overtime paid ($000,000)",$7.40,$3.00,$3.50,$3.00,$2.40,$2.30,
2019,DOC,DEPARTMENT OF CORRECTION,"Expenditures ($000,000)","$1,400.20","$1,403.70","$1,380.30","$1,407.50",$479.70,$463.00,Includes all funds.
2019,DOC,DEPARTMENT OF CORRECTION,"Revenues ($000,000)",$21.30,$20.50,$21.00,$15.50,$7.10,$6.20,
2019,DOC,DEPARTMENT OF CORRECTION,Personnel (uniformed),"10,653","10,226","10,226","10,063","10,495","10,624",
2019,DOC,DEPARTMENT OF CORRECTION,Personnel (civilian),"1,886","2,357","2,362","2,126","1,849","1,844",
2019,DOC,DEPARTMENT OF CORRECTION,"Overtime paid ($000,000)",$221.70,$157.40,$157.40,$157.70,$74.70,$52.70,
2019,DOC,DEPARTMENT OF CORRECTION,"Capital commitments ($000,000)",$34.40,$543.70,$597.50,"$1,212.50",$4.20,$12.40,
2019,DOE,DEPARTMENT OF EDUCATION,"Expenditures ($000,000)","$25,144.00","$25,593.20","$26,509.70","$26,893.60","$9,882.00","$10,088.40",Includes all funds.
2019,DOE,DEPARTMENT OF EDUCATION,"Revenues ($000,000)",$54.90,$52.70,$52.70,$52.70,$17.00,$20.20,
2019,DOE,DEPARTMENT OF EDUCATION,Personnel,"146,134","146,748","146,704","147,174","145,222","145,712",
2019,DOE,DEPARTMENT OF EDUCATION,"Overtime paid ($000,000)",$25.80,$15.60,$15.60,$15.60,$4.40,$4.80,
2019,DOE,DEPARTMENT OF EDUCATION,"Human services contract budget ($000,000)",$847.30,"$1,017.30",$861.80,"$1,318.20",$183.20,$193.90,
2019,DOF,DEPARTMENT OF FINANCE,"Expenditures ($000,000)",$278.90,$303.50,$311.40,$311.80,$123.90,$150.20,Includes all funds.
2019,DOF,DEPARTMENT OF FINANCE,"Revenues ($000,000)",$832.80,$796.40,$799.00,$794.30,$260.40,$294.60,
2019,DOF,DEPARTMENT OF FINANCE,Personnel,"1,969","2,266","2,268","2,282","1,943","1,936",
2019,DOF,DEPARTMENT OF FINANCE,Overtime paid ($000),"$3,878.00","$1,048.00","$3,890.00","$1,050.00",$935.00,"$1,287.00",
2019,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Expenditures ($000,000)","$1,699.40","$1,678.70","$1,777.10","$1,697.10",$934.70,"$1,023.10",Includes all funds.
2019,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Revenues ($000,000)",$33.50,$30.40,$30.40,$30.40,$10.10,$10.50,
2019,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Personnel,"6,858","6,655","6,970","6,748","6,581","6,819",
2019,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Overtime paid ($000,000)",$11.00,$5.90,$7.60,$5.40,$3.20,$3.70,
2019,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Capital commitments ($000,000)",$17.20,$123.80,$130.60,$133.30,$3.10,$8.10,
2019,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Human services contract budget ($000,000)",$682.80,$731.10,$696.30,$753.30,$202.30,$212.80,
2019,DOI,DEPARTMENT OF INVESTIGATION,"Expenditures ($000,000)",$42.00,$38.90,$54.30,$38.40,$21.90,$21.90,Includes all funds.
2019,DOI,DEPARTMENT OF INVESTIGATION,"Revenues ($000,000)",$3.20,$3.80,$3.80,$3.80,$0.40,$0.20,
2019,DOI,DEPARTMENT OF INVESTIGATION,Personnel,366,375,403,380,367,355,
2019,DOI,DEPARTMENT OF INVESTIGATION,Overtime paid ($000),"$1,143.00",$110.00,$222.00,$105.00,$291.00,$312.00,
2019,OTI,OFFICE OF TECHNOLOGY AND INNOVATION,"Expenditures ($000,000)",$657.90,$666.70,$730.90,$679.40,$267.50,$363.20,Includes all funds.
2019,OTI,OFFICE OF TECHNOLOGY AND INNOVATION,"Revenues ($000,000)",$180.90,$180.90,$180.90,$190.30,$49.80,$50.60,
2019,OTI,OFFICE OF TECHNOLOGY AND INNOVATION,Personnel,"1,514","1,820","1,841","1,891","1,533","1,535",
2019,OTI,OFFICE OF TECHNOLOGY AND INNOVATION,Overtime paid ($000),"$1,776.00",$315.00,$315.00,$315.00,$524.00,$525.00,
2019,DOP,DEPARTMENT OF PROBATION,"Expenditures ($000,000)",$103.10,$119.70,$121.40,$116.20,$43.90,$47.00,Includes all funds.
2019,DOP,DEPARTMENT OF PROBATION,Revenues ($000),$442.00,$452.00,$452.00,$452.00,$174.00,$139.00,
2019,DOP,DEPARTMENT OF PROBATION,Personnel,"1,052","1,227","1,228","1,219","1,010","1,130",
2019,DOP,DEPARTMENT OF PROBATION,Overtime paid ($000),"$1,548.00",$419.00,"$1,864.00","$1,164.00",$492.00,$327.00,
2019,DORIS,DEPARTMENT OF RECORDS & INFORMATION SVS,"Expenditures ($000,000)",$8.00,$9.80,$10.50,$11.50,$3.10,$5.30,Includes all funds.
2019,DORIS,DEPARTMENT OF RECORDS & INFORMATION SVS,"Revenues ($000,000)",$0.80,$1.00,$1.00,$0.90,$0.30,$0.30,
2019,DORIS,DEPARTMENT OF RECORDS & INFORMATION SVS,Personnel,72,70,78,80,59,71,
2019,DORIS,DEPARTMENT OF RECORDS & INFORMATION SVS,Overtime paid ($000),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
2019,DOT,DEPARTMENT OF TRANSPORTATION,"Expenditures ($000,000)",$983.70,"$1,042.70","$1,069.00","$1,010.90",$508.80,$520.80,Includes all funds.
2019,DOT,DEPARTMENT OF TRANSPORTATION,"Revenues ($000,000)",$410.40,$389.20,$414.10,$420.80,$124.60,$117.10,
2019,DOT,DEPARTMENT OF TRANSPORTATION,Personnel,"5,549","5,615","5,785","5,840","5,460","5,489",
2019,DOT,DEPARTMENT OF TRANSPORTATION,"Overtime paid ($000,000)",$64.80,$48.70,$48.90,$43.90,$21.70,$21.90,
2019,DOT,DEPARTMENT OF TRANSPORTATION,"Capital commitments ($000,000)","$2,163.40","$2,367.00","$2,005.90","$2,078.70",$327.20,$154.60,
2019,DPR,DEPARTMENT OF PARKS AND RECREATION,"Expenditures ($000,000)",$545.30,$534.10,$580.70,$542.80,$221.10,$225.80,Includes all funds.
2019,DPR,DEPARTMENT OF PARKS AND RECREATION,"Revenues ($000,000)",$69.40,$76.00,$83.00,$74.50,$26.60,$28.10,
2019,DPR,DEPARTMENT OF PARKS AND RECREATION,Personnel (Total FT and FTE),"7,094","7,629","7,836","7,496","6,869","7,005",
2019,DPR,DEPARTMENT OF PARKS AND RECREATION,Full-time personnel,"4,097","4,292","4,388","4,309","4,126","4,148",
2019,DPR,DEPARTMENT OF PARKS AND RECREATION,Full-time equivalent (FTE) personnel,"2,997","3,337","3,448","3,187","2,743","2,857",
2019,DPR,DEPARTMENT OF PARKS AND RECREATION,Parks Opportunity Program (POP) participants,"1,506","1,601","1,664","1,778","1,426","1,522","The Parks Opportunity Program participants, reflected as full-time equivalents, are a subtotal of the Department's total Personnel count."
2019,DPR,DEPARTMENT OF PARKS AND RECREATION,"Overtime paid ($000,000)",$23.70,$15.20,$15.40,$15.90,$8.80,$8.70,
2019,DPR,DEPARTMENT OF PARKS AND RECREATION,"Capital commitments ($000,000)",$437.50,"$1,207.00",$908.70,$951.50,$99.30,$125.90,
2019,DSNY,DEPARTMENT OF SANITATION,"Expenditures ($000,000)","$1,719.00","$1,743.10","$1,775.00","$1,771.80",$858.90,$794.00,Includes all funds.
2019,DSNY,DEPARTMENT OF SANITATION,"Revenues ($000,000)",$33.00,$20.30,$29.70,$24.20,$12.00,$12.90,
2019,DSNY,DEPARTMENT OF SANITATION,Personnel (uniformed),"7,558","7,657","7,823","7,721","7,759","7,904",
2019,DSNY,DEPARTMENT OF SANITATION,Personnel (civilian),"2,495","2,649","2,657","2,700","2,407","2,415",
2019,DSNY,DEPARTMENT OF SANITATION,"Overtime paid ($000,000)",$163.90,$121.10,$138.50,$131.00,$33.70,$36.20,
2019,DSNY,DEPARTMENT OF SANITATION,"Capital commitments ($000,000)",$289.00,$494.90,$416.90,$564.70,$62.40,$22.80,
2019,DVS,DEPARTMENT OF VETERANS' SERVICES,"Expenditures ($000,000)",$3.60,$5.10,$5.40,$5.20,$1.30,$1.80,Includes all funds.
2019,DVS,DEPARTMENT OF VETERANS' SERVICES,Personnel,35,44,47,47,33,37,
2019,DVS,DEPARTMENT OF VETERANS' SERVICES,Overtime paid ($000),$23.00,$0.00,$17.00,$0.00,$7.00,$8.00,
2019,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEV,"Expenditures ($000,000)",$809.30,$872.10,$902.90,$755.20,$500.90,$599.70,Includes all funds.
2019,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEV,Personnel,532,517,546,524,530,509,
2019,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEV,Overtime paid ($000),$83.00,$154.00,$154.00,$154.00,$23.00,$16.00,
2019,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEV,"Human services contract budget ($000,000)",$618.20,$714.40,$649.60,$571.70,$191.00,$214.00,
2019,EDC,ECONOMIC DEVELOPMENT CORPORATION,Personnel,518,522,537,537,518,530,
2019,EDC,ECONOMIC DEVELOPMENT CORPORATION,"Capital commitments ($000,000)",$320.00,"$1,279.60",$910.30,$660.10,$101.00,$37.60,
2019,FDNY,FIRE DEPARTMENT,"Expenditures ($000,000)","$2,091.60","$2,030.30","$2,097.30","$2,059.80",$735.70,$744.10,Includes all funds.
2019,FDNY,FIRE DEPARTMENT,"Revenues ($000,000)",$100.30,$99.80,$99.80,$102.00,$40.40,$41.00,
2019,FDNY,FIRE DEPARTMENT,Personnel (uniformed),"11,244","10,946","10,951","10,951","10,963","11,084",
2019,FDNY,FIRE DEPARTMENT,Personnel (civilian),"5,984","6,352","6,336","6,427","6,394","6,097",
2019,FDNY,FIRE DEPARTMENT,"Overtime paid ($000,000)",$332.70,$253.40,$261.20,$250.00,$115.20,$110.90,
2019,FDNY,FIRE DEPARTMENT,"Capital commitments ($000,000)",$85.60,$254.20,$211.90,$206.30,$42.20,$15.50,
2019,H + H,HEALTH AND HOSPITALS CORP,"Expenditures ($000,000)","$7,868.10","$7,740.00","$7,740.00","$7,880.80","$2,181.00","$2,192.70","Expense, Revenue, Overtime Plans are consistent with H+H November 2018 Plan; Personnel and Capital with NYC February 2019 Financial Plan. Includes all funds."
2019,H + H,HEALTH AND HOSPITALS CORP,"Revenues ($000,000)","$8,604.20","$8,365.20","$8,365.00","$8,347.10","$1,900.20","$2,206.90","Expense, Revenue, Overtime Plans are consistent with H+H November 2018 Plan; Personnel and Capital with NYC February 2019 Financial Plan."
2019,H + H,HEALTH AND HOSPITALS CORP,Personnel,"36,574","37,025","37,272","37,272","37,119","37,256","Expense, Revenue, Overtime Plans are consistent with H+H November 2018 Plan; Personnel and Capital with NYC February 2019 Financial Plan."
2019,H + H,HEALTH AND HOSPITALS CORP,"Overtime paid ($000,000)",$151.50,$153.60,$153.60,$153.60,$43.30,$52.80,"Expense, Revenue, Overtime Plans are consistent with H+H November 2018 Plan; Personnel and Capital with NYC February 2019 Financial Plan."
2019,H + H,HEALTH AND HOSPITALS CORP,"Capital commitments ($000,000)",$283.60,$578.50,$660.10,$843.40,$48.00,$141.20,"Expense, Revenue, Overtime Plans are consistent with H+H November 2018 Plan; Personnel and Capital with NYC February 2019 Financial Plan."
2019,HPD,HOUSING AND PRESERVATION DEVELOPMENT,"Expenditures ($000,000)","$1,000.80","$1,142.50","$1,259.90",$947.00,$661.20,$555.00,Includes all funds.
2019,HPD,HOUSING AND PRESERVATION DEVELOPMENT,"Revenues ($000,000)",$93.90,$30.80,$59.00,$31.80,$35.20,$27.20,
2019,HPD,HOUSING AND PRESERVATION DEVELOPMENT,Personnel,"2,295","2,582","2,634","2,628","2,282","2,327",
2019,HPD,HOUSING AND PRESERVATION DEVELOPMENT,"Overtime paid ($000,000)",$2.90,$2.00,$2.00,$2.00,$0.80,$0.90,
2019,HPD,HOUSING AND PRESERVATION DEVELOPMENT,"Capital commitments ($000,000)","$1,231.40","$1,264.20","$1,346.20","$1,268.10",$72.90,$229.40,
2019,HRA,HUMAN RESOURCES ADMINISTRATION,"Expenditures ($000,000)","$9,904.00","$10,068.00","$10,144.10","$10,164.30","$3,576.90","$4,175.10",Includes all funds.
2019,HRA,HUMAN RESOURCES ADMINISTRATION,"Revenues ($000,000)",$55.70,$42.60,$42.60,$42.60,$13.10,$13.60,
2019,HRA,HUMAN RESOURCES ADMINISTRATION,Personnel,"13,004","14,681","14,690","14,646","13,195","12,861",
2019,HRA,HUMAN RESOURCES ADMINISTRATION,"Overtime paid ($000,000)",$35.60,$15.90,$15.90,$15.90,$11.00,$11.20,
2019,HRA,HUMAN RESOURCES ADMINISTRATION,"Capital commitments ($000,000)",$57.60,$132.20,$86.20,$64.60,$0.60,$14.40,
2019,HRA,HUMAN RESOURCES ADMINISTRATION,"Human services contract budget ($000,000)",$566.50,$682.50,$692.10,$699.30,$111.90,$158.60,
2019,LAW,LAW DEPARTMENT,"Expenditures ($000,000)",$227.20,$235.30,$253.70,$252.50,$82.00,$86.10,Includes all funds.
2019,LAW,LAW DEPARTMENT,"Revenues ($000,000)",$22.50,$21.70,$36.70,$21.30,$8.30,$16.20,
2019,LAW,LAW DEPARTMENT,Personnel,"1,743","2,031","2,032","2,016","1,724","1,797",
2019,LAW,LAW DEPARTMENT,Overtime paid ($000),"$1,187.00",$1.00,$1.00,$1.00,$216.00,$479.00,
2019,LIB,PUBLIC LIBRARIES,"Expenditures ($000,000)",$382.40,$387.70,$398.80,$388.80,$252.90,$269.40,Includes all funds.
2019,LIB,PUBLIC LIBRARIES,Personnel,"4,002","4,228","4,166","4,193","4,068","3,957",
2019,LIB,PUBLIC LIBRARIES,"Capital commitments ($000,000)",$236.00,$506.80,$246.60,$244.20,$0.90,$9.10,
2019,LPC,LANDMARKS PRESERVATION COMM.,"Expenditures ($000,000)",$5.80,$6.70,$7.00,$6.80,$1.90,$2.20,Includes all funds.
2019,LPC,LANDMARKS PRESERVATION COMM.,"Revenues ($000,000)",$7.00,$5.70,$5.90,$5.70,$2.60,$3.10,
2019,LPC,LANDMARKS PRESERVATION COMM.,Personnel,70,81,80,82,73,75,
2019,LPC,LANDMARKS PRESERVATION COMM.,Overtime paid ($000),$15.00,$7.00,$7.00,$7.00,$0.00,$0.00,
2019,NYCEM,DEPARTMENT OF EMERGENCY MANAGEMENT,"Expenditures ($000,000)",$58.90,$56.60,$72.00,$30.90,$25.30,$29.30,Includes all funds.
2019,NYCEM,DEPARTMENT OF EMERGENCY MANAGEMENT,Personnel,186,189,195,72,174,185,
2019,NYCEM,DEPARTMENT OF EMERGENCY MANAGEMENT,Overtime paid ($000),$791.00,$178.00,$553.00,$184.00,$311.00,$230.00,
2019,NYCHA,NEW YORK CITY HOUSING AUTHORITY,"Expenditures ($000,000)","$3,376.00","$3,326.70","$3,326.70","$3,476.60","$1,068.70","$1,124.10",Includes all funds.
2019,NYCHA,NEW YORK CITY HOUSING AUTHORITY,"Revenues ($000,000)","$3,306.50","$3,338.70","$3,338.70","$3,510.00","$1,064.80","$1,097.40",
2019,NYCHA,NEW YORK CITY HOUSING AUTHORITY,Personnel,"10,761","10,804","10,864","10,817","11,005","10,658",
2019,NYCHA,NEW YORK CITY HOUSING AUTHORITY,"Overtime paid ($000,000)",$101.40,$66.70,$66.70,$85.50,$27.40,$26.80,
